Day,Sunrise,Sunset,Summertime,Daytime,Nighttime
1,09:17,14:30,FALSE,5h 13m,18h 47m
2,09:16,14:32,FALSE,5h 16m,18h 44m
3,09:15,14:34,FALSE,5h 19m,18h 41m
4,09:14,14:36,FALSE,5h 22m,18h 38m
5,09:13,14:38,FALSE,5h 25m,18h 35m
6,09:12,14:40,FALSE,5h 28m,18h 32m
7,09:11,14:42,FALSE,5h 31m,18h 29m
8,09:09,14:44,FALSE,5h 35m,18h 25m
9,09:08,14:47,FALSE,5h 39m,18h 21m
10,09:06,14:49,FALSE,5h 43m,18h 17m
11,09:04,14:51,FALSE,5h 47m,18h 13m
12,09:03,14:54,FALSE,5h 51m,18h 9m
13,09:01,14:57,FALSE,5h 56m,18h 4m
14,08:59,14:59,FALSE,6h 0m,18h 0m
15,08:57,15:02,FALSE,6h 5m,17h 55m
16,08:55,15:04,FALSE,6h 9m,17h 51m
17,08:53,15:07,FALSE,6h 14m,17h 46m
18,08:51,15:10,FALSE,6h 19m,17h 41m
19,08:49,15:13,FALSE,6h 24m,17h 36m
20,08:47,15:15,FALSE,6h 28m,17h 32m
21,08:44,15:18,FALSE,6h 34m,17h 26m
22,08:42,15:21,FALSE,6h 39m,17h 21m
23,08:40,15:24,FALSE,6h 44m,17h 16m
24,08:37,15:27,FALSE,6h 50m,17h 10m
25,08:35,15:30,FALSE,6h 55m,17h 5m
26,08:32,15:33,FALSE,7h 1m,16h 59m
27,08:30,15:36,FALSE,7h 6m,16h 54m
28,08:27,15:39,FALSE,7h 12m,16h 48m
29,08:24,15:42,FALSE,7h 18m,16h 42m
30,08:22,15:45,FALSE,7h 23m,16h 37m
31,08:19,15:48,FALSE,7h 29m,16h 31m
32,08:17,15:49,FALSE,7h 32m,16h 28m
33,08:15,15:52,FALSE,7h 37m,16h 23m
34,08:12,15:55,FALSE,7h 43m,16h 17m
35,08:09,15:58,FALSE,7h 49m,16h 11m
36,08:06,16:01,FALSE,7h 55m,16h 5m
37,08:03,16:04,FALSE,8h 1m,15h 59m
38,08:01,16:07,FALSE,8h 6m,15h 54m
39,07:58,16:10,FALSE,8h 12m,15h 48m
40,07:55,16:13,FALSE,8h 18m,15h 42m
41,07:52,16:16,FALSE,8h 24m,15h 36m
42,07:49,16:19,FALSE,8h 30m,15h 30m
43,07:46,16:22,FALSE,8h 36m,15h 24m
44,07:43,16:25,FALSE,8h 42m,15h 18m
45,07:40,16:28,FALSE,8h 48m,15h 12m
46,07:37,16:31,FALSE,8h 54m,15h 6m
47,07:34,16:34,FALSE,9h 0m,15h 0m
48,07:31,16:37,FALSE,9h 6m,14h 54m
49,07:27,16:40,FALSE,9h 13m,14h 47m
50,07:24,16:43,FALSE,9h 19m,14h 41m
51,07:21,16:46,FALSE,9h 25m,14h 35m
52,07:18,16:49,FALSE,9h 31m,14h 29m
53,07:15,16:51,FALSE,9h 36m,14h 24m
54,07:12,16:54,FALSE,9h 42m,14h 18m
55,07:09,16:57,FALSE,9h 48m,14h 12m
56,07:05,17:00,FALSE,9h 55m,14h 5m
57,07:02,17:03,FALSE,10h 1m,13h 59m
58,06:59,17:06,FALSE,10h 7m,13h 53m
59,06:56,17:09,FALSE,10h 13m,13h 47m
60,06:51,17:13,FALSE,10h 22m,13h 38m
61,06:48,17:16,FALSE,10h 28m,13h 32m
62,06:44,17:19,FALSE,10h 35m,13h 25m
63,06:41,17:21,FALSE,10h 40m,13h 20m
64,06:38,17:24,FALSE,10h 46m,13h 14m
65,06:35,17:27,FALSE,10h 52m,13h 8m
66,06:31,17:30,FALSE,10h 59m,13h 1m
67,06:28,17:33,FALSE,11h 5m,12h 55m
68,06:25,17:35,FALSE,11h 10m,12h 50m
69,06:22,17:38,FALSE,11h 16m,12h 44m
70,06:18,17:41,FALSE,11h 23m,12h 37m
71,06:15,17:44,FALSE,11h 29m,12h 31m
72,06:12,17:46,FALSE,11h 34m,12h 26m
73,06:08,17:49,FALSE,11h 41m,12h 19m
74,06:05,17:52,FALSE,11h 47m,12h 13m
75,06:02,17:55,FALSE,11h 53m,12h 7m
76,05:58,17:57,FALSE,11h 59m,12h 1m
77,05:55,18:00,FALSE,12h 5m,11h 55m
78,05:52,18:03,FALSE,12h 11m,11h 49m
79,05:48,18:06,FALSE,12h 18m,11h 42m
80,05:45,18:08,FALSE,12h 23m,11h 37m
81,05:42,18:11,FALSE,12h 29m,11h 31m
82,05:38,18:14,FALSE,12h 36m,11h 24m
83,05:35,18:16,FALSE,12h 41m,11h 19m
84,05:32,18:19,FALSE,12h 47m,11h 13m
85,05:29,18:22,FALSE,12h 53m,11h 7m
86,05:25,18:25,FALSE,13h 0m,11h 0m
87,06:22,19:27,TRUE,13h 5m,10h 55m
88,06:19,19:30,TRUE,13h 11m,10h 49m
89,06:15,19:33,TRUE,13h 18m,10h 42m
90,06:12,19:35,TRUE,13h 23m,10h 37m
91,06:10,19:37,TRUE,13h 27m,10h 33m
92,06:07,19:40,TRUE,13h 33m,10h 27m
93,06:03,19:42,TRUE,13h 39m,10h 21m
94,06:00,19:45,TRUE,13h 45m,10h 15m
95,05:57,19:48,TRUE,13h 51m,10h 9m
96,05:53,19:51,TRUE,13h 58m,10h 2m
97,05:50,19:53,TRUE,14h 3m,9h 57m
98,05:47,19:56,TRUE,14h 9m,9h 51m
99,05:44,19:59,TRUE,14h 15m,9h 45m
100,05:40,20:02,TRUE,14h 22m,9h 38m
101,05:37,20:04,TRUE,14h 27m,9h 33m
102,05:34,20:07,TRUE,14h 33m,9h 27m
103,05:30,20:10,TRUE,14h 40m,9h 20m
104,05:27,20:13,TRUE,14h 46m,9h 14m
105,05:24,20:16,TRUE,14h 52m,9h 8m
106,05:21,20:18,TRUE,14h 57m,9h 3m
107,05:17,20:21,TRUE,15h 4m,8h 56m
108,05:14,20:24,TRUE,15h 10m,8h 50m
109,05:11,20:27,TRUE,15h 16m,8h 44m
110,05:08,20:30,TRUE,15h 22m,8h 38m
111,05:04,20:32,TRUE,15h 28m,8h 32m
112,05:01,20:35,TRUE,15h 34m,8h 26m
113,04:58,20:38,TRUE,15h 40m,8h 20m
114,04:55,20:41,TRUE,15h 46m,8h 14m
115,04:52,20:44,TRUE,15h 52m,8h 8m
116,04:48,20:47,TRUE,15h 59m,8h 1m
117,04:45,20:49,TRUE,16h 4m,7h 56m
118,04:42,20:52,TRUE,16h 10m,7h 50m
119,04:39,20:55,TRUE,16h 16m,7h 44m
120,04:36,20:58,TRUE,16h 22m,7h 38m
121,04:31,21:02,TRUE,16h 31m,7h 29m
122,04:28,21:05,TRUE,16h 37m,7h 23m
123,04:25,21:08,TRUE,16h 43m,7h 17m
124,04:22,21:11,TRUE,16h 49m,7h 11m
125,04:19,21:14,TRUE,16h 55m,7h 5m
126,04:16,21:17,TRUE,17h 1m,6h 59m
127,04:13,21:20,TRUE,17h 7m,6h 53m
128,04:10,21:22,TRUE,17h 12m,6h 48m
129,04:07,21:25,TRUE,17h 18m,6h 42m
130,04:04,21:28,TRUE,17h 24m,6h 36m
131,04:01,21:31,TRUE,17h 30m,6h 30m
132,03:58,21:34,TRUE,17h 36m,6h 24m
133,03:56,21:37,TRUE,17h 41m,6h 19m
134,03:53,21:39,TRUE,17h 46m,6h 14m
135,03:50,21:42,TRUE,17h 52m,6h 8m
136,03:47,21:45,TRUE,17h 58m,6h 2m
137,03:45,21:48,TRUE,18h 3m,5h 57m
138,03:42,21:50,TRUE,18h 8m,5h 52m
139,03:39,21:53,TRUE,18h 14m,5h 46m
140,03:37,21:56,TRUE,18h 19m,5h 41m
141,03:34,21:59,TRUE,18h 25m,5h 35m
142,03:32,22:01,TRUE,18h 29m,5h 31m
143,03:29,22:04,TRUE,18h 35m,5h 25m
144,03:27,22:06,TRUE,18h 39m,5h 21m
145,03:25,22:09,TRUE,18h 44m,5h 16m
146,03:22,22:11,TRUE,18h 49m,5h 11m
147,03:20,22:14,TRUE,18h 54m,5h 6m
148,03:18,22:16,TRUE,18h 58m,5h 2m
149,03:16,22:19,TRUE,19h 3m,4h 57m
150,03:14,22:21,TRUE,19h 7m,4h 53m
151,03:12,22:23,TRUE,19h 11m,4h 49m
152,03:11,22:24,TRUE,19h 13m,4h 47m
153,03:09,22:26,TRUE,19h 17m,4h 43m
154,03:08,22:29,TRUE,19h 21m,4h 39m
155,03:06,22:31,TRUE,19h 25m,4h 35m
156,03:04,22:32,TRUE,19h 28m,4h 32m
157,03:03,22:34,TRUE,19h 31m,4h 29m
